question_id	pass_fail	pass_at_1
1873_A	PASS	1.000000
1873_B	PASS	1.000000
1873_D	FAIL	0.000000
1883_B	PASS	1.000000
1883_C	FAIL	0.000000
1899_A	FAIL	0.000000
1899_B	FAIL	0.000000
1899_C	FAIL	0.000000
1899_D	FAIL	0.000000
2727	PASS	1.000000
2728	PASS	1.000000
2730	PASS	1.000000
2754	FAIL	0.000000
2755	PASS	1.000000
2756	PASS	1.000000
2757	PASS	1.000000
2777	PASS	1.000000
2779	PASS	1.000000
2784	PASS	1.000000
2785	PASS	1.000000
2786	PASS	1.000000
2791	PASS	1.000000
2792	PASS	1.000000
2800	PASS	1.000000
2802	PASS	1.000000
2808	PASS	1.000000
2810	FAIL	0.000000
2811	FAIL	0.000000
2812	PASS	1.000000
2816	PASS	1.000000
2817	FAIL	0.000000
2819	PASS	1.000000
2824	PASS	1.000000
2825	PASS	1.000000
2827	PASS	1.000000
2828	PASS	1.000000
2831	PASS	1.000000
2832	FAIL	0.000000
2833	FAIL	0.000000
2834	PASS	1.000000
2837	PASS	1.000000
2839	FAIL	0.000000
2844	PASS	1.000000
2845	PASS	1.000000
2847	PASS	1.000000
2848	PASS	1.000000
2849	FAIL	0.000000
2850	PASS	1.000000
2854	FAIL	0.000000
2855	PASS	1.000000
2856	PASS	1.000000
2857	PASS	1.000000
2866	PASS	1.000000
2867	FAIL	0.000000
2868	PASS	1.000000
2869	PASS	1.000000
2870	PASS	1.000000
2872	FAIL	0.000000
2873	PASS	1.000000
2876	PASS	1.000000
2877	PASS	1.000000
2878	FAIL	0.000000
2879	FAIL	0.000000
2881	PASS	1.000000
2882	PASS	1.000000
2883	PASS	1.000000
2884	PASS	1.000000
2886	PASS	1.000000
2887	PASS	1.000000
2888	PASS	1.000000
2891	PASS	1.000000
2892	PASS	1.000000
2893	PASS	1.000000
2902	PASS	1.000000
2915	PASS	1.000000
2916	PASS	1.000000
2917	PASS	1.000000
2919	PASS	1.000000
2920	FAIL	0.000000
2921	FAIL	0.000000
2952	FAIL	0.000000
2953	PASS	1.000000
2954	PASS	1.000000
2955	PASS	1.000000
2977	PASS	1.000000
2979	PASS	1.000000
2998	PASS	1.000000
2999	PASS	1.000000
3000	FAIL	0.000000
3017	FAIL	0.000000
3018	PASS	1.000000
3019	PASS	1.000000
3024	FAIL	0.000000
3025	PASS	1.000000
3026	PASS	1.000000
3031	PASS	1.000000
3032	PASS	1.000000
3033	FAIL	0.000000
3034	PASS	1.000000
3044	PASS	1.000000
3045	FAIL	0.000000
3046	FAIL	0.000000
3047	PASS	1.000000
3055	PASS	1.000000
3080	FAIL	0.000000
3081	PASS	1.000000
3091	FAIL	0.000000
3093	PASS	1.000000
3094	PASS	1.000000
3104	PASS	1.000000
3106	PASS	1.000000
3114	PASS	1.000000
3141	PASS	1.000000
3150	PASS	1.000000
3151	PASS	1.000000
3153	PASS	1.000000
3154	PASS	1.000000
3163	PASS	1.000000
3164	PASS	1.000000
3166	PASS	1.000000
3171	PASS	1.000000
3172	PASS	1.000000
3174	PASS	1.000000
3176	PASS	1.000000
3183	PASS	1.000000
3184	FAIL	0.000000
3188	PASS	1.000000
3190	FAIL	0.000000
3192	FAIL	0.000000
3193	PASS	1.000000
3194	PASS	1.000000
3195	FAIL	0.000000
3196	FAIL	0.000000
3199	PASS	1.000000
3200	FAIL	0.000000
3203	FAIL	0.000000
3206	PASS	1.000000
3207	PASS	1.000000
3209	FAIL	0.000000
3210	PASS	1.000000
3211	FAIL	0.000000
3212	PASS	1.000000
3213	PASS	1.000000
3219	PASS	1.000000
3220	PASS	1.000000
3221	PASS	1.000000
3223	FAIL	0.000000
3224	FAIL	0.000000
3225	PASS	1.000000
3226	PASS	1.000000
3227	PASS	1.000000
3228	PASS	1.000000
3229	FAIL	0.000000
3230	PASS	1.000000
3231	PASS	1.000000
3233	FAIL	0.000000
3234	PASS	1.000000
3235	FAIL	0.000000
3236	PASS	1.000000
3239	PASS	1.000000
3240	FAIL	0.000000
3242	PASS	1.000000
3243	FAIL	0.000000
3244	PASS	1.000000
3245	PASS	1.000000
3246	PASS	1.000000
3249	PASS	1.000000
3251	PASS	1.000000
3252	PASS	1.000000
3261	FAIL	0.000000
3262	PASS	1.000000
3263	PASS	1.000000
3264	FAIL	0.000000
3265	FAIL	0.000000
3267	PASS	1.000000
3269	PASS	1.000000
3279	PASS	1.000000
3291	PASS	1.000000
3292	PASS	1.000000
3297	PASS	1.000000
3298	FAIL	0.000000
3299	FAIL	0.000000
3306	PASS	1.000000
3308	FAIL	0.000000
3309	PASS	1.000000
3311	PASS	1.000000
3312	PASS	1.000000
3313	FAIL	0.000000
3316	FAIL	0.000000
3317	PASS	1.000000
3320	PASS	1.000000
3324	PASS	1.000000
3327	FAIL	0.000000
3328	FAIL	0.000000
3329	PASS	1.000000
3331	PASS	1.000000
3334	PASS	1.000000
3337	FAIL	0.000000
3344	FAIL	0.000000
3345	FAIL	0.000000
3346	PASS	1.000000
3347	PASS	1.000000
3349	PASS	1.000000
3351	PASS	1.000000
3353	PASS	1.000000
3354	FAIL	0.000000
3355	PASS	1.000000
3356	PASS	1.000000
3360	FAIL	0.000000
3361	PASS	1.000000
3362	FAIL	0.000000
3363	PASS	1.000000
3364	FAIL	0.000000
3367	PASS	1.000000
3371	PASS	1.000000
3372	PASS	1.000000
3373	PASS	1.000000
3374	PASS	1.000000
3375	FAIL	0.000000
3376	FAIL	0.000000
3379	PASS	1.000000
3381	PASS	1.000000
3382	FAIL	0.000000
3383	PASS	1.000000
3384	PASS	1.000000
3387	FAIL	0.000000
3388	FAIL	0.000000
3394	FAIL	0.000000
3395	FAIL	0.000000
3396	PASS	1.000000
3397	FAIL	0.000000
3398	PASS	1.000000
3402	FAIL	0.000000
3403	FAIL	0.000000
3406	FAIL	0.000000
3408	PASS	1.000000
3411	FAIL	0.000000
3412	PASS	1.000000
3413	FAIL	0.000000
3414	FAIL	0.000000
3416	FAIL	0.000000
3420	PASS	1.000000
3421	PASS	1.000000
3422	PASS	1.000000
3423	FAIL	0.000000
3426	PASS	1.000000
3428	PASS	1.000000
3429	PASS	1.000000
3430	PASS	1.000000
3436	FAIL	0.000000
3437	FAIL	0.000000
3438	FAIL	0.000000
3439	FAIL	0.000000
3442	FAIL	0.000000
3446	PASS	1.000000
3447	FAIL	0.000000
3450	PASS	1.000000
3451	PASS	1.000000
3453	PASS	1.000000
3454	FAIL	0.000000
3455	FAIL	0.000000
3456	FAIL	0.000000
3460	FAIL	0.000000
3461	PASS	1.000000
3462	FAIL	0.000000
3463	PASS	1.000000
3464	FAIL	0.000000
3466	FAIL	0.000000
3468	PASS	1.000000
3469	FAIL	0.000000
3471	FAIL	0.000000
3475	FAIL	0.000000
3476	PASS	1.000000
3478	FAIL	0.000000
3479	FAIL	0.000000
3482	FAIL	0.000000
3484	FAIL	0.000000
3485	PASS	1.000000
3487	PASS	1.000000
3490	FAIL	0.000000
3492	FAIL	0.000000
3493	FAIL	0.000000
3494	FAIL	0.000000
3495	FAIL	0.000000
3496	FAIL	0.000000
3498	FAIL	0.000000
3502	FAIL	0.000000
3507	FAIL	0.000000
3508	PASS	1.000000
3510	FAIL	0.000000
3511	PASS	1.000000
3515	PASS	1.000000
