question_id	pass_fail	pass_at_1
1873_A	PASS	1.000000
1873_B	FAIL	0.000000
1873_D	FAIL	0.000000
1883_B	FAIL	0.000000
1883_C	FAIL	0.000000
1899_A	FAIL	0.000000
1899_B	PASS	1.000000
1899_C	FAIL	0.000000
1899_D	FAIL	0.000000
2727	PASS	1.000000
2728	FAIL	0.000000
2730	FAIL	0.000000
3091	FAIL	0.000000
3093	FAIL	0.000000
3094	PASS	1.000000
3104	FAIL	0.000000
3106	PASS	1.000000
3114	PASS	1.000000
3141	FAIL	0.000000
3150	FAIL	0.000000
3151	PASS	1.000000
3153	FAIL	0.000000
3154	PASS	1.000000
3364	FAIL	0.000000
3367	PASS	1.000000
3371	PASS	1.000000
3372	PASS	1.000000
3374	FAIL	0.000000
3375	FAIL	0.000000
3376	FAIL	0.000000
3379	FAIL	0.000000
3381	FAIL	0.000000
3563	FAIL	0.000000
3566	FAIL	0.000000
3567	PASS	1.000000
3568	FAIL	0.000000
3570	FAIL	0.000000
3571	FAIL	0.000000
3573	FAIL	0.000000
3575	FAIL	0.000000
3579	FAIL	0.000000
3580	FAIL	0.000000
3583	FAIL	0.000000
3584	FAIL	0.000000
3587	FAIL	0.000000
3588	FAIL	0.000000
3591	PASS	1.000000
3593	PASS	1.000000
3600	PASS	1.000000
3763	FAIL	0.000000
3764	FAIL	0.000000
3765	FAIL	0.000000
3768	PASS	1.000000
3770	FAIL	0.000000
3771	FAIL	0.000000
3773	FAIL	0.000000
3776	FAIL	0.000000
3777	FAIL	0.000000
3778	PASS	1.000000
3779	FAIL	0.000000
3781	FAIL	0.000000
3783	FAIL	0.000000
abc315_d	FAIL	0.000000
abc315_e	FAIL	0.000000
abc315_f	FAIL	0.000000
abc318_a	PASS	1.000000
abc318_c	FAIL	0.000000
abc318_d	FAIL	0.000000
abc319_b	PASS	1.000000
abc319_d	FAIL	0.000000
abc338_e	FAIL	0.000000
abc338_f	FAIL	0.000000
abc339_a	PASS	1.000000
abc339_b	PASS	1.000000
abc339_c	FAIL	0.000000
abc339_d	FAIL	0.000000
abc340_a	PASS	1.000000
abc340_c	FAIL	0.000000
abc340_d	FAIL	0.000000
abc360_c	FAIL	0.000000
abc360_e	FAIL	0.000000
abc361_a	PASS	1.000000
abc361_b	FAIL	0.000000
abc361_c	FAIL	0.000000
abc361_d	FAIL	0.000000
abc361_e	FAIL	0.000000
abc377_b	PASS	1.000000
abc377_c	FAIL	0.000000
abc377_d	FAIL	0.000000
abc377_f	FAIL	0.000000
abc377_g	FAIL	0.000000
abc378_a	FAIL	0.000000
abc394_d	FAIL	0.000000
abc394_f	FAIL	0.000000
abc394_g	FAIL	0.000000
abc395_a	PASS	1.000000
abc395_b	PASS	1.000000
abc395_c	PASS	1.000000
abc395_e	FAIL	0.000000
abc395_f	FAIL	0.000000
abc396_a	PASS	1.000000
abc396_b	FAIL	0.000000
abc396_c	FAIL	0.000000
abc396_d	FAIL	0.000000
abc396_e	FAIL	0.000000
abc396_f	FAIL	0.000000
abc396_g	FAIL	0.000000
abc397_a	PASS	1.000000
abc397_b	FAIL	0.000000
abc397_c	PASS	1.000000
abc397_d	FAIL	0.000000
abc397_e	FAIL	0.000000
abc397_f	FAIL	0.000000
abc397_g	FAIL	0.000000
