question_id	pass_fail	pass_at_1
1873_A	FAIL	0.000000
1873_B	FAIL	0.000000
1873_D	FAIL	0.000000
1883_B	FAIL	0.000000
1883_C	FAIL	0.000000
1899_A	FAIL	0.000000
1899_B	FAIL	0.000000
1899_C	FAIL	0.000000
1899_D	FAIL	0.000000
2727	FAIL	0.000000
2728	FAIL	0.000000
2730	FAIL	0.000000
2754	FAIL	0.000000
2755	FAIL	0.000000
2756	FAIL	0.000000
2757	FAIL	0.000000
2777	FAIL	0.000000
2779	FAIL	0.000000
2784	FAIL	0.000000
2785	FAIL	0.000000
2786	FAIL	0.000000
2791	FAIL	0.000000
2792	FAIL	0.000000
2800	FAIL	0.000000
2802	FAIL	0.000000
2808	FAIL	0.000000
2810	FAIL	0.000000
2811	FAIL	0.000000
2812	FAIL	0.000000
2816	FAIL	0.000000
2817	FAIL	0.000000
2819	FAIL	0.000000
2824	FAIL	0.000000
2825	FAIL	0.000000
2827	FAIL	0.000000
2828	FAIL	0.000000
2831	FAIL	0.000000
2832	FAIL	0.000000
2833	FAIL	0.000000
2834	FAIL	0.000000
2837	FAIL	0.000000
2839	FAIL	0.000000
2844	FAIL	0.000000
2845	FAIL	0.000000
2847	FAIL	0.000000
2848	FAIL	0.000000
2849	FAIL	0.000000
2850	FAIL	0.000000
2854	FAIL	0.000000
2855	FAIL	0.000000
2856	FAIL	0.000000
2857	FAIL	0.000000
2866	FAIL	0.000000
2867	FAIL	0.000000
2868	FAIL	0.000000
2869	FAIL	0.000000
2870	FAIL	0.000000
2872	FAIL	0.000000
2873	FAIL	0.000000
2876	FAIL	0.000000
2877	FAIL	0.000000
2878	FAIL	0.000000
2879	FAIL	0.000000
2881	FAIL	0.000000
2882	FAIL	0.000000
2883	FAIL	0.000000
2884	FAIL	0.000000
2886	FAIL	0.000000
2887	FAIL	0.000000
2888	FAIL	0.000000
2891	FAIL	0.000000
2892	FAIL	0.000000
2893	FAIL	0.000000
2902	FAIL	0.000000
2915	FAIL	0.000000
2916	FAIL	0.000000
2917	FAIL	0.000000
2919	FAIL	0.000000
2920	FAIL	0.000000
2921	FAIL	0.000000
2952	FAIL	0.000000
2953	FAIL	0.000000
2954	FAIL	0.000000
2955	FAIL	0.000000
2977	FAIL	0.000000
2979	FAIL	0.000000
2998	FAIL	0.000000
2999	FAIL	0.000000
3000	FAIL	0.000000
3017	FAIL	0.000000
3018	FAIL	0.000000
3019	FAIL	0.000000
3024	FAIL	0.000000
3025	FAIL	0.000000
3026	FAIL	0.000000
3031	FAIL	0.000000
3032	FAIL	0.000000
3033	FAIL	0.000000
3034	FAIL	0.000000
3044	FAIL	0.000000
3045	FAIL	0.000000
3046	FAIL	0.000000
3047	FAIL	0.000000
3055	FAIL	0.000000
3080	FAIL	0.000000
3081	FAIL	0.000000
3091	FAIL	0.000000
3093	FAIL	0.000000
3094	FAIL	0.000000
3104	FAIL	0.000000
3106	FAIL	0.000000
3114	FAIL	0.000000
3141	FAIL	0.000000
3150	FAIL	0.000000
3151	FAIL	0.000000
3153	FAIL	0.000000
3154	FAIL	0.000000
3163	FAIL	0.000000
3164	FAIL	0.000000
3166	FAIL	0.000000
3171	FAIL	0.000000
3172	FAIL	0.000000
3174	FAIL	0.000000
3176	FAIL	0.000000
3183	FAIL	0.000000
3184	FAIL	0.000000
3188	FAIL	0.000000
3190	FAIL	0.000000
3192	FAIL	0.000000
3193	FAIL	0.000000
3194	FAIL	0.000000
3195	FAIL	0.000000
3196	FAIL	0.000000
3199	FAIL	0.000000
3200	FAIL	0.000000
3203	FAIL	0.000000
3206	FAIL	0.000000
3207	FAIL	0.000000
3209	FAIL	0.000000
3210	FAIL	0.000000
3211	FAIL	0.000000
3212	FAIL	0.000000
3213	FAIL	0.000000
3219	FAIL	0.000000
3220	FAIL	0.000000
3221	FAIL	0.000000
3223	FAIL	0.000000
3224	FAIL	0.000000
3225	FAIL	0.000000
3226	FAIL	0.000000
3227	FAIL	0.000000
3228	FAIL	0.000000
3229	FAIL	0.000000
3230	FAIL	0.000000
3231	FAIL	0.000000
3233	FAIL	0.000000
3234	FAIL	0.000000
3235	FAIL	0.000000
3236	FAIL	0.000000
3239	FAIL	0.000000
3240	FAIL	0.000000
3242	FAIL	0.000000
3243	FAIL	0.000000
3244	FAIL	0.000000
3245	FAIL	0.000000
3246	FAIL	0.000000
3249	FAIL	0.000000
3251	FAIL	0.000000
3252	FAIL	0.000000
3261	FAIL	0.000000
3262	FAIL	0.000000
3263	FAIL	0.000000
3264	FAIL	0.000000
3265	FAIL	0.000000
3267	FAIL	0.000000
3269	FAIL	0.000000
3279	FAIL	0.000000
3291	FAIL	0.000000
3292	FAIL	0.000000
3297	FAIL	0.000000
3298	FAIL	0.000000
3299	FAIL	0.000000
3306	FAIL	0.000000
3308	FAIL	0.000000
3309	FAIL	0.000000
3311	FAIL	0.000000
3312	FAIL	0.000000
3313	FAIL	0.000000
3316	FAIL	0.000000
3317	FAIL	0.000000
3320	FAIL	0.000000
3324	FAIL	0.000000
3327	FAIL	0.000000
3328	FAIL	0.000000
3329	FAIL	0.000000
3331	FAIL	0.000000
3334	FAIL	0.000000
3337	FAIL	0.000000
3344	FAIL	0.000000
3345	FAIL	0.000000
3346	FAIL	0.000000
3347	FAIL	0.000000
3349	FAIL	0.000000
3351	FAIL	0.000000
3353	FAIL	0.000000
3354	FAIL	0.000000
3355	FAIL	0.000000
3356	FAIL	0.000000
3360	FAIL	0.000000
3361	FAIL	0.000000
3362	FAIL	0.000000
3363	FAIL	0.000000
3364	FAIL	0.000000
3367	FAIL	0.000000
3371	FAIL	0.000000
3372	FAIL	0.000000
3373	FAIL	0.000000
3374	FAIL	0.000000
3375	FAIL	0.000000
3376	FAIL	0.000000
3379	FAIL	0.000000
3381	FAIL	0.000000
3382	FAIL	0.000000
3383	FAIL	0.000000
3384	FAIL	0.000000
3387	FAIL	0.000000
3388	FAIL	0.000000
3394	FAIL	0.000000
3395	FAIL	0.000000
3396	FAIL	0.000000
3397	FAIL	0.000000
3398	FAIL	0.000000
3402	FAIL	0.000000
3403	FAIL	0.000000
3406	FAIL	0.000000
3408	FAIL	0.000000
3411	FAIL	0.000000
3412	FAIL	0.000000
3413	FAIL	0.000000
3414	FAIL	0.000000
3416	FAIL	0.000000
3420	FAIL	0.000000
3421	FAIL	0.000000
3422	FAIL	0.000000
3423	FAIL	0.000000
3426	FAIL	0.000000
3428	FAIL	0.000000
3429	FAIL	0.000000
3430	FAIL	0.000000
3436	FAIL	0.000000
3437	FAIL	0.000000
3438	FAIL	0.000000
3439	FAIL	0.000000
3442	FAIL	0.000000
3446	FAIL	0.000000
3447	FAIL	0.000000
3450	FAIL	0.000000
3451	FAIL	0.000000
3453	FAIL	0.000000
3454	FAIL	0.000000
3455	FAIL	0.000000
3456	FAIL	0.000000
3460	FAIL	0.000000
3461	FAIL	0.000000
3462	FAIL	0.000000
3463	FAIL	0.000000
3464	FAIL	0.000000
3466	FAIL	0.000000
3468	FAIL	0.000000
3469	FAIL	0.000000
3471	FAIL	0.000000
3475	FAIL	0.000000
3476	FAIL	0.000000
3478	FAIL	0.000000
3479	FAIL	0.000000
3482	FAIL	0.000000
3484	FAIL	0.000000
3485	FAIL	0.000000
3487	FAIL	0.000000
3490	FAIL	0.000000
3492	FAIL	0.000000
3493	FAIL	0.000000
3494	FAIL	0.000000
3495	FAIL	0.000000
3496	FAIL	0.000000
3498	FAIL	0.000000
3502	FAIL	0.000000
3507	FAIL	0.000000
3508	FAIL	0.000000
3510	FAIL	0.000000
3511	FAIL	0.000000
3515	FAIL	0.000000
3517	FAIL	0.000000
3518	FAIL	0.000000
3519	FAIL	0.000000
3522	FAIL	0.000000
3525	FAIL	0.000000
3526	FAIL	0.000000
3527	FAIL	0.000000
3528	FAIL	0.000000
3531	FAIL	0.000000
3532	FAIL	0.000000
3533	FAIL	0.000000
3534	FAIL	0.000000
3535	FAIL	0.000000
3540	FAIL	0.000000
3541	FAIL	0.000000
3543	FAIL	0.000000
3548	FAIL	0.000000
3550	FAIL	0.000000
3551	FAIL	0.000000
3552	FAIL	0.000000
3553	FAIL	0.000000
3555	FAIL	0.000000
3558	FAIL	0.000000
3559	FAIL	0.000000
