question_id	pass_fail	pass_at_1
1873_A	FAIL	0.000000
1873_B	FAIL	0.000000
1873_D	FAIL	0.000000
1883_B	FAIL	0.000000
1883_C	FAIL	0.000000
1899_A	FAIL	0.000000
1899_B	FAIL	0.000000
1899_C	FAIL	0.000000
1899_D	FAIL	0.000000
2727	FAIL	0.000000
2728	FAIL	0.000000
2730	FAIL	0.000000
2754	FAIL	0.000000
2755	FAIL	0.000000
2756	FAIL	0.000000
2757	PASS	1.000000
2777	FAIL	0.000000
2779	FAIL	0.000000
2784	FAIL	0.000000
2785	FAIL	0.000000
2786	FAIL	0.000000
2791	FAIL	0.000000
2792	FAIL	0.000000
2800	FAIL	0.000000
2802	FAIL	0.000000
2808	FAIL	0.000000
2810	FAIL	0.000000
2811	FAIL	0.000000
2812	FAIL	0.000000
2816	FAIL	0.000000
2817	FAIL	0.000000
2819	FAIL	0.000000
2824	PASS	1.000000
2825	FAIL	0.000000
2827	FAIL	0.000000
2828	FAIL	0.000000
2831	FAIL	0.000000
2832	FAIL	0.000000
2833	FAIL	0.000000
2834	FAIL	0.000000
2837	PASS	1.000000
2839	FAIL	0.000000
2844	FAIL	0.000000
2845	FAIL	0.000000
2847	FAIL	0.000000
2848	FAIL	0.000000
2849	FAIL	0.000000
2850	FAIL	0.000000
2854	FAIL	0.000000
2855	FAIL	0.000000
